재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
854,초고추장,,1~5℃,225Kcal,회,,면역력증가,"흐르는 질감이며, 광이 나고 빨간색인 것이 좋다.",바로 사용 가능하다.,양념그릇에 담아 어울리는 해산물이나 음식을 찍어 먹는다.,직사광선을 피하고 밀봉하여 냉장보관한다.,
855,청주,,,107Kcal,,,,침전물이 없는지 확인한다.,바로 사용 가능하다.,"주로 가열음식에 사용하며, 재료의 잡냄새를 없애준다.",직사광선을 피하고 냉장 보관한다.,
856,배즙,9~12월,1~5℃,52Kcal,,,"감기예방, 다이어트, 기관지건강",유통기한을 확인하고 구입한다.,배를 깎아 믹서기나 강판으로 갈아준다.,그냥 마시거나 양념이나 소스에 첨가하여 먹는다.,밀봉하여 냉장보관한다.,
857,된장,연중제철,10~15℃,131Kcal,부추,,"항암작용, 콜레스테롤저하, 동맥경화예방, 노화방지, 변비해소, 뇌건강",유통기한을 확인하고 상하거나 벌레가 일지 않은 것이 좋다.,바로 사용가능하다.,"국, 찌개, 탕, 양념 등 다양하게 사용할 수 있다.",옹기에 담아 보관하거나 냉장보관한다.,
858,요리용 떡,연중제철,-20~0℃,217Kcal,,,,곰팡이와 이물질이 없는지 확인한다.,바로 먹거나 잘라서 사용한다.,"흔히 떡국에 넣어먹는 것으로 알고 있지만, 이 외에도 국, 구이 조청에 찍어 먹거나 떡볶이로도 많이 활용 된다.",잘라서 보관하거나 통으로 냉동보관한다.,
859,돼지등갈비,연중제철,0~5℃,224Kcal,김치,,"피로회복, 스트레스완화, 집중력강화, 두뇌활동",뼈 길이가 7cm 정도 인 것이 부드럽다,센 불에 겉만 익혀 먹는 것이 부드럽다.,"바비큐, 국, 탕, 찌개 등으로 사용 가능하다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
861,소고기다짐육,연중제철,0~5℃,332Kcal,,,"면역력증가, 빈혈예방, 감기예방",선홍색에 육즙이 흘러나오지 않는 것을 구매한다.,행주로 핏기를 제거하고 사용한다.,"고추장에 넣어 활용하거나 패티, 떡갈비 등으로 사용할 수 있다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
862,맛간장,연중제철,0~5℃,45Kcal,,,,유통기한을 확인하고 용기가 부풀거나 불완정한 것은 사지 않는다.,만들어 먹거나 구매한 것은 바로 사용가능하다.,조림이나 볶음용으로 사용한다.,직사광선을 피하고 서늘한 곳에서 보관한다. 만든 것은 길게 6개월 동안 먹을 수 있다.,
863,참타리버섯,연중제철,1~5℃,16Kcal,,,"다이어트, 항암효과, 혈액순환",,흐르는 물에 씻어 손으로 찢어 요리한다.,"주로 볶음으로 사용하며, 탕으로, 전골으로, 전으로 다양하게 사용가능하다.",신문지 혹은 키친타올로 감싸 습기를 제거한 후 냉장보관한다.,
866,통후추,연중제철,18~22℃,306Kcal,돼지고기,,"소화촉진, 식욕부진 개선, 발한 촉진, 향균, 진정",향이 깊은 것과 이물질이 섞여 있지 않은 것이 좋다.,제분기로 사용할 만큼 덜어 갈아 사용한다.,향이 강해 누린내가 나는 돼지고기에 사용한다.,밀폐하여 건조하고 그늘 진 곳에 보관한다.,
867,건다시마,연중제철,10~15℃,110Kcal,,,"변비해소, 중금속배출, 다이어트, 고혈압예방, 골다공증예방",두껍고 색이 검은 것이 좋다.,마른행주로 이물질을 제거하고 물에 불리거나 끓여 사용한다.,국물을 내거나 반찬용 조림으로 사용 가능하다.,서늘하고 통풍이 되는 곳에서 보관한다.,
868,우동면,연중제철,0~5℃,154Kcal,,,,유통기한을 확인하고 구매한다.,포장을 뜯어 삶아서 사용한다.,우동이나 우동면이 필요한 곳에 사용한다.,냉장/냉동보관한다.,
869,중하,9~12월,-20~0℃,94Kcal,아욱,,"성장촉진, 고혈압예방, 골다공증예방",껍질이 단단하고 윤이 나며 투명한 것이 좋다.,머리를 제거한 후 등 쪽에 있는 내장을 제거하고 소금물에 헹궈 사용한다.,"튀김, 구이, 탕, 찜 등에 사용한다.",냉동보관한다.,
871,적양배추 ,1~3월/3~5월/7~8월,10~15℃,37Kcal,당근,,"노화방지, 항암효과, 면역력증가, 변비해소, 위보호, 골다공증예방",묵직하고 모양이 찌그러지지 않은 것이 좋다.,흐르는 물에 씻어 바로 먹거나 데치거나 쪄서 먹는다.,"샐러드로 먹거나 데쳐 먹거나 쪄서 쌈으로 먹기도, 찜으로 먹기도 한다.",직사광선을 피하고 서늘한 곳에 보관한다.,
872,캐러멜소스,연중제철,10~15℃,313Kcal,,,,유통기한을 확인하고 구매한다.,바로 사용가능하다.,커피나 제과제빵등에 활용 가능하다.,직사광선을 피하고 서늘한 곳에 보관한다.,
873,블랙올리브,연중제철,1~5℃,85Kcal,,,"심혈관질환예방, 암예방, 피부건강, 모발건강, 진통, 항염, 소화촉진, 골다공증예방, 눈건강","주로 통조림으로 구입하고, 유통기한을 확인한다.",올리브를 꺼내 잘라 사용하거나 통으로 사용할 수 있다.,"샐러드, 피자, 빵 등 다양하게 사용할 수 있다.",직사광선을 피해 건냉한 곳에 보관한다.,
874,스파게티소스,연중제철,1~5℃,55Kcal,,,,유통기한을 확인하고 구매한다.,필요한 만큼 덜어 소스를 사용한다.,"스파게티를 만들 때 소스를 따로 만들지 않고 바로 사용하거나 피자, 리조또등 다양한 음식에 활용할 수 있다.",직사광선을 피해 냉장보관한다.,
875,드라이이스트,연중제철,10~15℃,325Kcal,제빵,,,유통기한을 확인하고 구매한다.,3~40도의 온수에 이스트를 5:1 비율로 넣고 2~30분 후 3회 정도 저어 녹인다. 녹인 드라이 이스트를 밀가루 반죽에 넣어 사용한다.,제빵시 발효 할 때 사용하며 빵 질감의 쫀득함과 고소함을 살릴 수 있다.,직사광선을 피해 건냉한 곳에 보관한다.,
876,새우살,9~12월,-20~0℃,49Kcal,피망,,성장촉진,살이 탄탄한 것이 좋다.,깨끗한 물에 헹궈 사용한다.,"샐러드나 볶음밥, 샌드위치에 사용한다.",냉동보관한다.,
877,파마산치즈가루,연중제철,1~5℃,431Kcal,빵,,"골다공증예방, 노화방지",아이보리색에 뭉쳐있지 않고 유통기한을 확인하고 구매한다.,요리에 뿌려 사용한다.,"빵이나 피자, 파스타 등 요리 후 장식으로 사용한다.",직사광선을 피하고 서늘한 곳에 두거나 냉장보관한다.,
881,코코아가루,연중제철,10~15℃,370Kcal,,,"충치예방, 감기예방, 피로회복, 노화방지, 암예방, 심장병예방","뭉치는 것이 없으며, 달큰한 냄새만 나는 것이 좋다.",바로 사용가능하다.,"설탕이 들어 있지 않고, 제과제빵에 주로 사용하고 장식용으로 많이 활용한다.",밀봉하여 건조하고 서늘한 곳에 보관한다.,
882,보리가루,연중제철,10~15℃,357Kcal,,,"다이어트, 변비해소, 피부미용",유통기한을 확인한다.,바로 사용가능하다.,빵이나 국수로 사용 가능하다.,밀봉하여 서늘한 곳에 보관한다.,
883,통밀가루,연중제철,0~5℃,326Kcal,계란,,다이어트,유통기한을 확인하고 포장상태를 확인한다.,체에 쳐서 고운가루를 사용한다.,"빵이나 면, 부침가루로도 사용가능하다.",밀봉하여 냉장보관한다.,
885,쌀뜨물,연중제철,0~5℃,,,,"피부미용, 피부미백",집에서 만들어 사용한다.,쌀을 씻고 나서 두번째 씻은 물을 사용한다.,"국이나 찌개를 끓일 때 활용하면 영양소가 높아지고, 세제나 세안물로 사용한다.",직사광선을 피하고 냉장보관한다.,
886,무말랭이 ,연중제철,0~5℃,267Kcal,,,"골다공증예방, 감기예방, 갱년기질환완화, 항암효과",싱싱한 무를 사용하였고 냄새가 나지 않으며 눅눅하지 않은 것이 좋다.,찬물에 10분 정도 불리고 꼭 짜서 사용한다.,"무침, 김치, 차 등으로 많이 활용한다.",지퍼백에 보관하고 냉장/냉동 보관한다.,
888,다크커버춰초콜릿,연중제철,0~5℃,520Kcal,,,,유통기한을 확인하고 구매한다.,중탕하여 사용한다.,중탕하여 다시 굳혀 그대로 섭취하거나 디저트에 첨가하여 활용한다.,직사광선을 피해 서늘한 곳에서 보관한다.,"다른 초콜릿들보다 훨씬 진한 색을 띄며, 카카오의 함량이 높은 초콜릿. 카카오 함량이 높아지면 높아질수록 단맛이 사라지고 쓴맛을 띄게 된다."
890,구운소금,연중제철,15~25℃,,데킬라,,잇몸질환치료,포장에 손상이 있는 것은 지양하고 곰팡이나 이물질이 있는지 확인한다.,바로 사용 가능하다.,간을 맞추거나 짠 맛이 필요할 때 사용한다.,직사광선을 피한 그늘 진 곳에 보관한다.,
891,총각무,10~12월,0~5℃,29Kcal,새우젓,,"위장보호, 소화촉진",머리부분은 둥글하고 잔 뿌리가 없고 초록색인 것이 좋다,껍질은 깎지 말고 씻어준다.,"주로 김치를 담그는데 사용한다,",저온에 보관하며 냉장보관한다.,
892,말차가루,연중제철,10~15℃,,,,"피부미용, 감기예방, 다이어트",유통기한과 포장이 밀봉되었는지 확인하고 구입한다.,쪄낸 찻잎을 말리고 잎맥을 제거 한 후 곱게 갈아 분말 형태로 사용한다.,"주로 차로 음용하고, 녹차향이 필요한 디저트에 첨가하거나 미용팩으로 사용한다.",밀봉하고 직사광선을 피해 건냉한 곳에 보관한다.,
893,바닐라익스트랙,연중제철,10~15℃,,,,식욕증진,유통기한을 확인하고 구매한다.,바로 사용가능하다.,제과제빵에 사용되며 계란의 비린내를 잡고 바닐라향을 첨가할 때 사용한다.,밀봉하고 직사광선을 피해 건냉한 곳에 보관한다.,
897,우거지,연중제철,-20~0℃,32Kcal,,,"변비해소, 다이어트",잎이 넓고 두껍지도 얇지도 않은 것이 좋다,사용 전 끓는 물에 데쳐 사용한다.,"탕, 찌개, 국 등에 사용하여 먹는다.","데친 우거지는 물기를 꼭 짜서 냉동 보관하고, 말린 우거지는 건냉한 곳에서 보관한다.",
898,초코청크,연중제철,10~15℃,426Kcal,,,,유통기한을 확인하고 구매한다.,바로 사용가능하다.,"게이크,쿠키, 빵 등 디저트에 사용하거나 장식용으로 사용한다.",직사광선을 피해 밀봉하여 서늘한 곳에 보관한다.,
903,바질페스토,연중제철,10~15℃,234Kcal,,,뇌기능향상,유통기한을 확인하고 구매한다.,"만들어 진 것을 구입하거나, 바질을 갈아 마늘, 잣, 파르메산 치즈, 올리브 오일을 넣어 다시 갈아 만들어 준다.","빵, 파스타등에 활용가능하고, 샐러드에도 사용가능하다.",직사광선을 피해 서늘하고 그늘진 곳에 보관한다.,
904,사워크림,연중제철,1~5℃,193Kcal,,,"식욕증진, 장기능활성화",유통기한을 확인하고 잘 밀봉 되었는지 보고 구매한다.,바로 사용가능하다.,"빵, 과자, 샐러드 드레싱이나 소스, 멕시칸요리 등에서 활용한다. 가장 많이 알려진 활용법으론 구운감자에 얹어 먹는 것이 있다.",유통기한이 짧아 빨리 섭취하고 냉동보관한다.,
905,소고기국거리,연중제철,0~5℃,,무,,"면역력증가, 빈혈예방, 감기예방",선홍색에 고깃결이 고우며 육즙이 많이 흘러나오지 않는 것이 좋다.,물에 담궈 핏기를 제거하고 사용한다.,국을 끓일 때 함께 넣어 사용한다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
907,무염버터 ,연중제철,1~5℃,755Kcal,,,,냉장 보관 된 것 만 구입하고 유통기한을 확인한다.,바로 사용 가능하다.,소금을 넣지 않았기 때문에 버터크림으로 사용하거나 디저트에 장식하는 용도로 사용한다.,밀봉하여 냉장보관한다.,
908,마늘종,3~5월,10~15℃,51Kcal,건새우,,"하지정맥예방, 비만예방, 변비해소, 장질환개선",굵기가 일정하며 단단한 것이 좋다.,흐르는 물에 헹군다.,장아찌나 볶음으로 요리해 먹는다.,밀봉하여 냉장보관한다.,
909,쫄면,연중제철,10~15℃,269Kcal,,,,유통기한을 확인하고 구매한다.,붙어있는 쫄면가닥으로 떼어 끓는 물에 4분 삶아 찬물에 헹궈 사용한다.,보통 채소와 비빔장과 함께 비빔쫄면을 먹거나 면이 들어가는 여러 요리에 활용한다.,직사광선을 피하고 건냉한 곳에 보관한다.,
911,초콜릿칩,연중제철,1~5℃,426Kcal,,,에너지원,유통기한을 확인하고 구매한다.,바로 사용가능하다.,제과나 제빵에 사용한다.,직사광선을 피해 그늘지고 서늘한 곳에 보관하거나 냉동보관한다.,
914,땅콩분태 ,연중제철,0~5℃,568Kcal,,,"노화방지, 콜레스테롤저하",유통기한을 확인하고 냄새가 나지 않는 것을 구입한다.,바로 사용가능하다.,"죽이나 디저트, 소스로 활용 가능하다.",직사광선을 피해 서늘한 곳에 보관한다.,
916,팥앙금,연중제철,0~5℃,155Kcal,,,"당뇨예방, 노화방지, 간건강, 혈관건강",포장상태와 유통기한을 확인한다.,바로 사용 가능하다.,빵이나 디저트의 속재료로 사용한다.,냉장보관한다.,
918,레몬주스,연중제철,0~5℃,22Kcal,굴,,"식욕증진, 감기예방, 피로회복, 피부미용, 모세혈관강화",포장용기와 유통기한을 확인하여 구매한다.,바로 사용 가능하다.,비린내가 나는 음식에 뿌리거나 식초대신 사용 할 수 있다.,밀봉하여 냉장 보관한다.,
920,버섯,연중계속,1~5℃,38Kcal,돼지고기,,"성인병예방, 노화방지, 콜레스테롤저하, 혈관질환예방, 항암작용",상처가 없고 조직이 단단한 것이 좋다.,흐르는 물에 씻어 사용한다.,"구이,국,당,찜, 볶음 등 다양하게 사용할 수 있다.",밀봉하여 냉장보관한다.,
921,실곤약,연중제철,0~5℃,6Kcal,,,다이어트,유통기한을 확인하고 사용한다.,흐르는 물에 씻어 사용한다.,"국수 면을 대신해 비빔국수나 냉채, 무침 등으로 활용 가능하다.",남은 것은 물에 담궈 냉장보관한다.,
923,돼지고기다짐육,연중제철,0~5℃,221Kcal,,,"피로회복, 근력",분홍빛이 돌며 윤기가 흐르는 것이 좋다.,핏기를 제거하고 바로 사용가능하다.,떡갈비나 패티로 사용하고 이 외에는 소스로도 활용 가능하다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
924,도토리가루,연중제철,10~15℃,351Kcal,,,"비만예방, 성인병예방, 해독작용, 유해물질배출, 피로회복, 숙취해소",유통기한을 확인하고 포장이 잘 밀봉되어 있는지를 확인한다.,바로 사용가능하다.,"주로 묵을 만들어 먹으며, 전이나 면으로 요리해 먹울 수 있다.",직사광선을 피해 서늘한 곳에서 보관한다.,
929,파스타면,연중제철,1~5℃,325Kcal,"채소,우유",,,잘 건조된 것을 구매하고 표면이 꺼끌한 것이 좋다.,소금물(물 1L당 소금50g)에 데쳐 기호에 따라 면을 익혀 사용한다.,소금물에 삶아 소스와 함께 파스타요리를 하는데 사용한다.,건냉하고 직사광선이 닿지 않는 곳에서 사용한다.,
931,샐러드 채소,연중제철,1~5℃,18Kcal,,,"콜레스테롤저하, 다이어트, 성인병예방, 항암효과, 식욕촉진",잎이 파릇파릇하고 생기가 있으며 흐물흐물한 것은 고르지 않는다.,흐르는 물에 살짝 씻어 사용한다.,"비빔밥, 무침, 샐러드 등 생으로 먹을 수 있는 방법으로 먹는 것이 제일 좋고, 요리 후 장식용으로도 활용할 수 있다.",냉장보관한다.,
932,묵은지,연중제철,1~5℃,25Kcal,두부,,"장기능활성화, 항암효과, 면역력증가",무르지 않고 군내가 나지 않으며 신맛이 강하지 않은 것이 좋다.,바로 사용가능하다.,"그냥 섭취하거나 찜, 찌개, 전, 볶음 등 다양하게 사용할 수 있다.",사용 후 밀봉하여 냉장보관한다.,
934,갓,9~11월,0~5℃,27Kcal,굴,,"통증완화, 혈액순환, 고혈압예방",잎이 적색이거나 녹색이며 깃털처럼 나는 것이 좋으며 파릇파릇하고 줄기가 둥글고 연한 것이 좋다.,.,주로 김치를 담궈 먹는 용도로 사용된다.,손질해 신문지에 둘러 냉장 보관한다.,"종류는 청갓,홍갓(얼청갓) 있고, 여수 돌산지역의 갓이 유명하다."
935,사과식초 ,,,11Kcal,꿀,,"항균, , 피부미백, 고혈압예방, 식욕촉진, 다이어트",침전물이 없는지 확인하고 포장용기를 살핀다.,바로 사용 가능하다.,"주로 초고추장과 무침에 많이 사용하며, 사과향이 있어 신맛이 필요한 부분에 첨가하면 삿뜻한 맛을 준다.",직사광선을 피해 그늘진 서늘한 곳에 보관한다.,
938,소고기불고기,연중제철,0~5℃,133Kcal,,,"면역력증가, 빈혈예방, 감기예방",물이 많이 생기지 않고 냄새가 나지 않는 것이 좋다.,바로 사용 가능하다.,후라이팬에 볶아 먹거나 전골로 먹는다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
939,돼지고기등뼈,연중제철,0~5℃,208Kcal,생강,,"다이어트, 간질환예방, .",선홍색에 광택이 있는 것이 좋다.,물에 담궈 핏물을 제거하고 사용한다.,탕이나 국으로 활용한다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
945,조개,7~2월,-20~0℃,49Kcal,토마토,,"콜레스테롤저하, 고혈압예방, 다이어트",껍데기에 윤이 흐르는 것과 입을 다물고 있는 것이 좋다.,이물질을 제거하고 소금물에서 해감한다.,"육수를 내 국, 탕으로 먹거나 구이, 찜으로도 활용한다.",냉동보관한다.,
946,오리고기훈제,연중제철,0~5℃,337Kcal,,,"피부미용, 기력회복, 혈관질환예방, 혈액순환",유통기한을 확인하고 구매한다.,바로 사용 가능하다.,바로 섭취하거나 볶아먹기도 한다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
947,매실청,연중제철,1~5℃,82Kcal,회,,"암예방, 장기능활성화, 피로회복, 숙취해소, 간기능향상",유통기한을 확인하고 거품이 없는 것이 좋다.,"바로 사용가능하며, 만들어 사용시, 매실을 씻어 물기를 제거하고 설탕과 1:1비율로 만든다.",물에 희석하여 음료로 마시거나 새콤달콤한 조미가 필요할 때 사용한다.,직사광선을 피하고 밀폐하여 냉장보관한다.,
948,액젓,연중제철,,29Kcal,생선,,당뇨예방,용기의 상태를 확인하고 유통기한을 확인하고 구입한다.,바로 사용 가능하다.,국이나 찌개에 간장이나 소금 대신 사용하면 깊은 맛이 나 기호에 따라 사용한다.,직사광선을 피해 서늘한 곳에 보관한다.,
949,베이킹소다,연중제철,10~15℃,,제빵,,"살균, 소독, 탈취",,바로 사용가능하다.,주로 제빵이나 세척에 사용한다.,건조하고 그늘진 곳에 보관한다.,
951,실치,연중제철,-20~0℃,239Kcal,,,"골다공증예방, 빈혈예방",눈이 또렷하고 살이 투명한 것이 좋으며 씹었을 때 탄력이 있고 감칠맛이 도는 것이 좋다.,깨끗한 물에 헹궈 사용한다.,그냥 먹거나 양념장에 무쳐 먹기도 한다.,"단기 보관시 냉장보관, 장기 보관시 냉동보관한다.",
953,황기,연중제철,18~22℃,60Kcal,삼계탕,,"이뇨작용, 간보호, 고혈압예방, 신진대사활성화","강원도산이 제일 좋고, 연한 확색에 잔 뿌리가 있고 휘어 있는 것이 특징이다.",흐르는 물에 깨끗이 씻어 잔가지는 정리하고 활용한다.,"주로 삼계탕으로 먹고, 탕이나 국, 또는 물에 우려 마시기도 한다.",밀봉하여 건조하고 서늘한 곳에 보관한다.,
954,무싹,연중제철,0~5℃,22Kcal,,,"활력증진, 식욕촉진",흐물흐물한 것은 고르지 않으며 파릇파릇한 것으로 구입한다.,흐르는 물에 깨끗이 헹궈 사용한다.,"비빔밥이나 나물 무침, 샐러드로 활용하고, 요리 후 장식용으로 활용한다.",신문지에 말거나 밀봉하여 냉장보관한다.,
955,타르타르소스,연중제철,0~5℃,211Kcal,튀김요리,,식욕증진,포장용기와 유통기한을 확인하고 구매한다.,"구매한 것은 바로 사용하고, 제조 후 사용시 잘 섞어주어 사용한다.","마요네즈,레몬즙,설탕 등을 다진 재료들과 함께 섞어 만들어주고, 튀김 특히 해산물 튀김과 함께 먹으면 좋다.",냉장보관한다.,
958,유채나물,연중제철,0~5℃,40Kcal,된장,,"피로회복, 혈액순환, 면역력강화, 성인병예방",잎이 파릇파릇하고 생기가 있으며 벌레 먹은 것이 없는 것이 좋다.,흐르는 물에 깨끗이 씻어 대를 반을 갈라 소금물에 데친다.,주로 김치나 나물무침으로 활용한다.,"구입 후 빠른시일내에 섭취하고, 직사광선은 피하고 서늘한 곳에서 보관하거나 냉장보관한다.",
959,식용색소,연중제철,10~15℃,,,,,유통기한을 확인하고 구입한다.,소량으로 사용한다.,주로 디저트류에 사용하며 소량 사용한다.,직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
962,김치,연중제철,1~5℃,25Kcal,,,"항암효과, 성인병 예방, 혈액순환, 변비해소, 장운동활발","김치는 어떤 채소로 담궜는가부터, 어떤 양념으로, 얼마나 숙성시켰는지에 따라 다르다. 취향에 맞게 구매하고 유통기한을 확인한다.","구입한 김치는 바로 사용가능하며, 집에서 담근 김치는 적절하게 숙성시켜 사용한다.","반찬으로 바로 섭취하거나, 국, 탕, 찌개, 볶음, 조림, 찜 등 다양한 분야에 다양하게 사용할 수 있다.","전용 냉장고인 김치냉장고에 밀봉하여 보관하거나, 일반 냉장고에 보관한다.",무·배추·오이 등과 같은 채소를 소금에 절이고 고추·파·마늘·생강 등 여러 가지 양념을 버무려 담근 채소의 염장 발효식품.
963,호박고지,12~2월,18~22℃,277Kcal,식용유,,"골다공증예방, 다이어트",희고 곰팡이가 피지 않은 것을 구매한다.,물에 불려 사용한다.,나물로 먹거나 볶아먹기도 하고 찌개로 먹기도 한다.,직사광선이 닿지 않고 통풍이 잘 되며 건냉한 곳에서 보관한다,
965,밤호박,1~6월,5~10℃,70Kcal,,,"감기예방, 눈건강",무겁고 색이 짙으며 단단한 것이 좋다,표면은 베이킹소다나 굵은 소금으로 씻어주고 꼭지를 자르거나 반을 갈라 씨를 파낸 후 사용하기도 한다.,"쪄서 바로 먹기도 하고, 단호박 속에 밥이나 여러가지 재료를 채워 먹기도 하며, 죽, 스프 등 다양하게 활용할 수 있다.",직사광선이 닿지 않고 건냉한 곳에서 보관하거나 냉장보관한다.,
967,소고기살치살,연중제철,0~5℃,120Kcal,,,"면역력증가, 빈혈예방, 감기예방, 골다공증예방",단단하고 결이 고우며 선홍빛을 내는 것이 좋다. 지방색이 노란 것은 피한다.,바로 사용가능하다.,"주로 구이로 먹지만,조림, 볶음 등 다양하게 활용할 수 있다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
968,사과즙,연중제철,1~5℃,47Kcal,,,"피부미용, 변비해소, 피로회복, 동맥경화예방",황갈색에 맛이 심하게 달지 않은 것이 좋다.,바로 사용가능하다.,"샐러드나 드레싱, 소스 등에 첨가하여 사용하거나 바로 마실 수 있다.",서늘한 곳에 밀봉하여 보관하거나 냉장보관한다.,
969,생강술,연중제철,10~15℃,,,,,주로 집에서 만들어 먹기 때문에 싱싱한 생강을 사용하는 것이 좋다.,조금씩 덜어 바로 사용한다.,"주로 찜이나 구이, 조림, 볶음 등 가열요리에 사용하고 비린내가 나는 부분에 사용한다.",밀봉하여 직사광선을 피해 서늘한 곳에 보관한다.,
971,말린취나물,연중제철,-20~0℃,265Kcal,들깨,,"혈전예방, 혈액순환, 혈액정화","봄에 나는 것이 좋고, 연한 녹색에 질기지 않은 것이 좋다.","삶거나, 물에 불려 사용한다.","볶아서 사용하거나 무침, 즙 등 다양하게 사용할 수 있다.",물기를 짜내고 냉동실에 보관한다.,
972,대패삼겹살,연중제철,0~5℃,132Kcal,,,"성인병예방, 동맥경화예방, 뇌질환예방, 피부미용, 노폐물배출","육질 등급을 확인하고, 옅은 선홍색 빛에 비계층 구분이 선명한 것이 좋다.",바로 사용한다.,주로 구워서 섭취한다.,"단기 보관시 냉장보관, 장기 보관시 냉동 보관한다.",
974,미니새송이버섯,연중제철,1~5℃,38Kcal,쇠고기,,"해독작용, 피부미용, 변비, 항암효과",만졌을 때 단단하하고 탱탱한 것을 골라야 한다.,흐르는 물에 살짝 만 행궈 준다.,"볶음이나 구이, 튀김등의 요리법이 좋다.",신문지에 싸서 냉장고에 보관한다,
975,조미김,연중제철,,433Kcal,밥,,시력보호,포장상태와 유통기한을 확인하고 구입한다.,잘라서 섭취하거나 알맞은 크기로 잘라진 김은 포장을 뜯어 섭취한다.,"생김과는 달리 조미가 된 것으로 밑반찬으로 밥과 함께 섭취하거나, 그냥 섭취할 수도 있으며, 이 외에도 다양하게 섭취할 수 있다.",직사광선을 피해 보관하고 쉽게 눅눅해지기 때문에 건조한 상태로 밀봉하여 보관한다.,
981,떡볶이떡,연중제철,,217Kcal,,,,유통기한을 확인하고 구입한다.,물에 불려 사용하거나 끓는 물에 데쳐 사용한다.,주로 떡볶이나 떡꼬치에 활용하며 이 외에도 다양하게 활용 될 수 있다.,냉동 보관한다.,"대표적으로 쌀떡, 밀떡이 있다.
요즘 유행하는 치즈 떡볶이떡, 현미떡볶이떡 등 다양한 형태로 출시 되어 있다."
982,황태채,연중제철,10~15℃,349Kcal,계란,,"숙취해소, 신진대사활성화, 간보호, 해독작용",누렇고 연한살이 좋은 것이다.,"방망이로 두드리거나, 쌀뜨물에 불려 북북 찢어 사용한다.","구이, 무침, 볶음, 국, 탕 등 다양하게 활용할 수 있다.",밀봉하여 건냉한 곳에 보관하거나 냉동하여 보관한다.,
983,만두 ,,,,,,,,,,,
984,시판 치킨,연중,,,,,,,,주로 기름에 튀겨 조리하나 오븐에 구워 먹는것이 건강에 좋다.,,프라이드치킨(fried chicken)은 닭고기를 조각 내거나 통째로 뜨거운 기름에서 튀겨낸 음식이다. 일반적으로 밀가루를 기본으로 한 가루 형태 또는 반죽 형태의 옷을 입혀서 튀긴다.
985,고춧잎,가을,,41Kcal,,,,색이 선명하며 잎이 시들지 않은 것이 좋다.,깨끗이 씻은 후 끓는 물에 살짝 데친 후 찬물에 헹궈 꼭 짠다.,,삶아 말린 후 서늘한 곳에 보관한다.,
986,무청,가을~겨울,,22Kcal,된장,,다이어트,색이 진하며 줄기와 잎이 연한 것이 좋다.,끓는 물에 소금을 넣고 살짝 데쳐 서늘한 곳에 말린다.,,데쳐서 냉동 보관하거나 서늘한 곳에 말려 보관한다.,
987,돈가스,,,,,,,,,기름에 튀겨 조리한다.,,
988,사골곰탕 ,,,422Kcal,,,,,,,밀폐용기에 담아 냉장 보관한다.,
989,유자청,11~12월,,42Kcal,,,"피로회복, 감기예방, 피부미용",,,,,
990,다시마육수 ,,,28Kcal,두부,,변비 예방,,,,사용할 만큼 덜어 냉동 보관한다.,
993,꼬시래기,,,,,,"식이섬유풍부, 타우린, 알긴산 성분.",﻿색이 검푸르며 굵기가 일정하며 진이 없는 것이 좋음.,홍조식물 꼬시래기과의 해조. 우무를 만들 때 우뭇가사리와 섞어 쓴다.,"염장 꼬시래기는 찬물에 여러번 헹구고, 찬물에 20~30분정도 담궈서 염분을 빼고 사용한다.",염장 꼬시래기는 냉장 보관으로 6개월 정도까지 보관이 가능하다.,
998,양파 가루,,,,풍미 좋은 고기 요리.,,,유통 기한 확인 후 구매,"양파를 동결건조하여 곱게 갈아 정제소금, 양미 오일등을 혼합 해서 고소한 양파 풍미가 좋음.","닭튀김이나 , 돈까스, 스프 등 밑 양념 할때 같이 사용하면 양파의 단맛, 고소한 풍미가 좋아진다.","향이 없어지지 않도록 개봉 후에는 빠르게 소비 하고, 서늘한 곳에 보관한다.",
999,마늘 가루,,,,,,"샬균, 향균 빈혈 완화, 저혈압 개선",유통 기한 확인 후 구입.,"마늘을 건조하여 분말로 한 것. 향신료로서 이용된다. 국내에서 생산 된 것은 마늘 100% 로 만들어 고기의 비린내 제거용으로 많이 사용. 수입 제품의 경우, 옥수수전분이나 빵가루등을 섞어서 어니언파우더 처럼 풍미 향상의 요소로 사용 된다.","생마늘 대신 고기기 비린내 제거에도 사용 되고, 커리와 같은 진한 풍미를 내는데 도움을 주기도 한다.","향이 없어지지 않도록 개봉 후 빠르게 사용하고, 서늘한 곳에서 보관",
